,close,high,low,open,volume
2013-02-18 10:18:00,2436.7315,2437.3304,2436.0866,2437.3304,0
2013-02-18 10:19:00,2437.5038,2438.4649,2436.2696,2437.3801,0
2013-02-18 10:20:00,2438.5572,2438.5572,2437.1794,2437.1794,0
2013-02-18 10:21:00,2440.446,2440.446,2438.77,2438.7969,0
2013-02-18 10:22:00,2440.0224,2440.8614,2439.1684,2440.2042,0
2013-02-18 10:23:00,2442.5196,2442.5196,2439.9915,2441.1826,0
2013-02-18 10:24:00,2443.0696,2443.0696,2441.6498,2441.863,0
2013-02-18 10:25:00,2443.8748,2443.8748,2442.6069,2443.3671,0
2013-02-18 10:26:00,2442.5293,2443.9489,2442.1104,2443.4891,0
2013-02-18 10:27:00,2442.4958,2443.8301,2441.9868,2443.3395,0
2013-02-18 10:28:00,2441.5698,2442.6879,2441.348,2442.3628,0
2013-02-18 10:29:00,2442.0646,2442.8043,2441.4627,2441.5533,0
2013-02-18 10:30:00,2441.8469,2442.7306,2440.7916,2442.1178,0
2013-02-18 10:31:00,2441.6984,2442.4341,2441.0738,2441.259,0
2013-02-18 10:32:00,2442.5996,2442.9121,2441.6258,2442.5628,0
2013-02-18 10:33:00,2440.2828,2442.929,2440.2828,2442.8633,0
2013-02-18 10:34:00,2438.9957,2441.0256,2438.9957,2440.8937,0
2013-02-18 10:35:00,2436.732,2439.694,2436.5463,2439.694,0
2013-02-18 10:36:00,2436.7304,2437.7713,2436.7304,2436.9508,0
2013-02-18 10:37:00,2436.6149,2437.896,2436.1036,2436.4299,0
2013-02-18 10:38:00,2435.4041,2436.9792,2435.4041,2436.9792,0
2013-02-18 10:39:00,2434.2098,2436.2344,2433.3751,2436.1177,0
2013-02-18 10:40:00,2433.0833,2434.26,2433.0042,2433.7814,0
2013-02-18 10:41:00,2432.8907,2434.299,2432.8907,2433.4368,0
2013-02-18 10:42:00,2433.268,2433.5391,2432.8057,2433.4623,0
2013-02-18 10:43:00,2433.2184,2433.8611,2432.8121,2433.3387,0
2013-02-18 10:44:00,2433.3924,2433.6873,2432.6486,2433.4656,0
2013-02-18 10:45:00,2429.6424,2433.5783,2429.6424,2433.5783,0
2013-02-18 10:46:00,2428.599,2429.7474,2428.2268,2429.5545,0
2013-02-18 10:47:00,2426.8873,2429.147,2426.8873,2429.147,0
2013-02-18 10:48:00,2426.7334,2428.0818,2426.7334,2427.5504,0
2013-02-18 10:49:00,2427.1669,2428.0996,2426.978,2427.4136,0
2013-02-18 10:50:00,2427.8104,2428.5057,2427.7686,2427.7686,0
2013-02-18 10:51:00,2427.3741,2428.5336,2426.4009,2428.2263,0
2013-02-18 10:52:00,2424.9165,2427.7049,2424.9165,2427.7049,0
2013-02-18 10:53:00,2420.493,2424.5059,2420.493,2424.3025,0
2013-02-18 10:54:00,2416.1678,2420.5187,2416.1678,2420.4676,0
2013-02-18 10:55:00,2415.7308,2418.1333,2415.7308,2415.949,0
2013-02-18 10:56:00,2420.2468,2420.8913,2416.5677,2416.5677,0
2013-02-18 10:57:00,2421.3489,2421.5981,2420.0734,2420.3739,0
2013-02-18 10:58:00,2421.8806,2422.41,2420.6046,2421.1403,0
2013-02-18 10:59:00,2422.8222,2423.026,2421.4182,2422.3247,0
2013-02-18 11:00:00,2424.2611,2424.6785,2423.6213,2424.3906,0
2013-02-18 11:01:00,2423.2624,2424.6339,2423.2624,2424.6339,0
2013-02-18 11:02:00,2423.7356,2425.109,2422.8962,2423.538,0
2013-02-18 11:03:00,2422.9769,2424.6565,2422.9769,2424.1586,0
2013-02-18 11:04:00,2423.2955,2423.6986,2422.892,2423.5405,0
2013-02-18 11:05:00,2422.5621,2423.1492,2422.3173,2423.1417,0
2013-02-18 11:06:00,2423.1662,2423.8356,2422.3115,2422.3333,0
2013-02-18 11:07:00,2424.1407,2424.5295,2423.04,2423.0656,0
2013-02-18 11:08:00,2424.3866,2424.962,2423.7937,2424.154,0
