,close,high,low,open,volume
2013-02-18 10:23:00,10.73,10.74,10.71,10.72,6196518
2013-02-18 10:24:00,10.74,10.74,10.72,10.73,3726842
2013-02-18 10:25:00,10.72,10.74,10.72,10.74,2933495
2013-02-18 10:26:00,10.7,10.73,10.7,10.73,2631262
2013-02-18 10:27:00,10.69,10.71,10.68,10.7,1377621
2013-02-18 10:28:00,10.69,10.7,10.66,10.68,2116304
2013-02-18 10:29:00,10.68,10.7,10.67,10.68,1092951
2013-02-18 10:30:00,10.68,10.7,10.68,10.69,1100343
2013-02-18 10:31:00,10.72,10.72,10.68,10.68,2709344
2013-02-18 10:32:00,10.71,10.73,10.7,10.71,3060491
2013-02-18 10:33:00,10.67,10.71,10.67,10.71,1492812
2013-02-18 10:34:00,10.64,10.67,10.64,10.67,1137731
2013-02-18 10:35:00,10.63,10.65,10.63,10.64,1163055
2013-02-18 10:36:00,10.66,10.66,10.62,10.63,1232959
2013-02-18 10:37:00,10.64,10.65,10.64,10.64,415911
2013-02-18 10:38:00,10.61,10.65,10.61,10.65,1496163
2013-02-18 10:39:00,10.58,10.62,10.58,10.62,1663235
2013-02-18 10:40:00,10.58,10.58,10.56,10.58,1169753
2013-02-18 10:41:00,10.61,10.61,10.58,10.58,1271829
2013-02-18 10:42:00,10.63,10.63,10.6,10.61,566072
2013-02-18 10:43:00,10.61,10.63,10.6,10.62,617528
2013-02-18 10:44:00,10.61,10.61,10.6,10.61,981002
2013-02-18 10:45:00,10.58,10.61,10.58,10.61,2174509
2013-02-18 10:46:00,10.57,10.59,10.56,10.58,1207460
2013-02-18 10:47:00,10.58,10.6,10.57,10.57,587472
2013-02-18 10:48:00,10.59,10.6,10.58,10.59,689337
2013-02-18 10:49:00,10.59,10.6,10.58,10.6,225720
2013-02-18 10:50:00,10.59,10.6,10.57,10.59,1349345
2013-02-18 10:51:00,10.56,10.58,10.55,10.58,1943288
2013-02-18 10:52:00,10.54,10.57,10.53,10.56,1682202
2013-02-18 10:53:00,10.52,10.54,10.51,10.53,2893158
2013-02-18 10:54:00,10.5,10.53,10.49,10.52,4485441
2013-02-18 10:55:00,10.52,10.52,10.48,10.49,2686529
2013-02-18 10:56:00,10.57,10.57,10.51,10.51,1065030
2013-02-18 10:57:00,10.56,10.57,10.54,10.56,613511
2013-02-18 10:58:00,10.57,10.57,10.55,10.56,642391
2013-02-18 10:59:00,10.56,10.57,10.55,10.57,587970
2013-02-18 11:00:00,10.56,10.57,10.55,10.56,866233
2013-02-18 11:01:00,10.56,10.57,10.55,10.57,1251456
2013-02-18 11:02:00,10.56,10.57,10.55,10.56,567895
2013-02-18 11:03:00,10.56,10.57,10.55,10.55,410477
2013-02-18 11:04:00,10.56,10.57,10.56,10.56,485877
2013-02-18 11:05:00,10.55,10.57,10.54,10.56,547691
2013-02-18 11:06:00,10.55,10.56,10.53,10.55,1185939
2013-02-18 11:07:00,10.56,10.57,10.54,10.55,1574101
2013-02-18 11:08:00,10.57,10.58,10.56,10.57,381726
