,close,high,low,open,volume
2013-02-18 09:30:00,8.55,8.55,8.55,8.55,3000
2013-02-18 09:31:00,8.55,8.56,8.55,8.56,12600
2013-02-18 09:32:00,8.58,8.6,8.55,8.55,36212
2013-02-18 09:33:00,8.56,8.57,8.56,8.57,13400
2013-02-18 09:34:00,8.56,8.56,8.55,8.55,7300
2013-02-18 09:35:00,8.56,8.56,8.55,8.55,46500
2013-02-18 09:36:00,8.55,8.56,8.55,8.56,26500
2013-02-18 09:37:00,8.53,8.54,8.53,8.54,25300
2013-02-18 09:38:00,8.53,8.59,8.52,8.59,105000
2013-02-18 09:39:00,8.53,8.59,8.53,8.59,51800
2013-02-18 09:40:00,8.53,8.53,8.53,8.53,40400
2013-02-18 09:41:00,8.54,8.54,8.53,8.53,2001
2013-02-18 09:42:00,8.55,8.55,8.55,8.55,14090
2013-02-18 09:43:00,8.58,8.58,8.55,8.55,29900
2013-02-18 09:44:00,8.58,8.58,8.54,8.58,59400
2013-02-18 09:45:00,8.56,8.56,8.54,8.54,9500
2013-02-18 09:46:00,8.57,8.57,8.52,8.56,112720
2013-02-18 09:47:00,8.55,8.56,8.54,8.54,31400
2013-02-18 09:48:00,8.52,8.55,8.52,8.55,106300
2013-02-18 09:49:00,8.55,8.55,8.52,8.52,1100
2013-02-18 09:50:00,8.52,8.53,8.52,8.53,3300
2013-02-18 09:51:00,8.52,8.52,8.52,8.52,17000
2013-02-18 09:52:00,8.5,8.51,8.5,8.51,82089
2013-02-18 09:53:00,8.48,8.5,8.48,8.49,14200
2013-02-18 09:54:00,8.49,8.49,8.49,8.49,10700
2013-02-18 09:55:00,8.49,8.5,8.49,8.49,23600
2013-02-18 09:56:00,8.5,8.5,8.49,8.5,53800
2013-02-18 09:57:00,8.49,8.49,8.49,8.49,14100
2013-02-18 09:58:00,8.48,8.49,8.48,8.49,14800
2013-02-18 09:59:00,8.48,8.49,8.48,8.48,35100
