,close,high,low,open,volume
2013-01-29 09:31:00,9629.202,9637.013,9629.202,9637.013,26953719
2013-01-29 09:32:00,9642.236,9643.874,9627.657,9627.657,10691575
2013-01-29 09:33:00,9637.405,9641.363,9634.107,9636.638,10523226
2013-01-29 09:34:00,9641.188,9641.188,9633.354,9636.091,10267730
2013-01-29 09:35:00,9643.051,9648.09,9639.149,9640.412,12383713
2013-01-29 09:36:00,9647.911,9649.357,9645.078,9646.039,12256151
2013-01-29 09:37:00,9659.365,9659.489,9648.371,9648.371,15191160
2013-01-29 09:38:00,9658.814,9664.157,9658.814,9660.909,15999450
2013-01-29 09:39:00,9660.623,9662.593,9657.296,9662.196,12696306
2013-01-29 09:40:00,9669.67,9669.67,9659.945,9662.014,8967562
2013-01-29 09:41:00,9674.4,9676.39,9672.202,9672.202,12539594
2013-01-29 09:42:00,9685.243,9686.816,9679.56,9679.56,13752959
2013-01-29 09:43:00,9687.344,9691.226,9680.807,9688.065,12483122
2013-01-29 09:44:00,9687.077,9690.567,9682.383,9682.383,15712260
2013-01-29 09:45:00,9679.793,9687.965,9679.793,9686.21,18864524
2013-01-29 09:46:00,9663.887,9676.9,9663.887,9676.9,12835988
2013-01-29 09:47:00,9642.041,9659.313,9642.041,9659.313,12701502
2013-01-29 09:48:00,9642.107,9645.814,9638.555,9645.814,10110438
2013-01-29 09:49:00,9636.28,9638.359,9635.206,9638.359,8619240
2013-01-29 09:50:00,9635.274,9636.984,9633.378,9635.607,9389863
2013-01-29 09:51:00,9640.023,9640.023,9632.96,9633.399,7515705
2013-01-29 09:52:00,9642.633,9643.677,9641.464,9641.464,7539111
2013-01-29 09:53:00,9645.836,9646.272,9642.322,9643.637,8400100
2013-01-29 09:54:00,9651.002,9651.002,9645.248,9646.214,5954608
2013-01-29 09:55:00,9661.388,9661.499,9650.923,9650.923,7696877
2013-01-29 09:56:00,9673.93,9673.93,9666.598,9667.039,8663320
2013-01-29 09:57:00,9674.672,9677.387,9674.672,9677.322,8354267
2013-01-29 09:58:00,9678.409,9679.171,9674.416,9676.285,8267377
2013-01-29 09:59:00,9691.336,9691.336,9678.852,9678.852,10657973
2013-01-29 10:00:00,9693.288,9695.642,9688.946,9689.479,8237462
2013-01-29 10:01:00,9691.576,9697.515,9691.114,9694.376,11541972
2013-01-29 10:02:00,9695.191,9695.191,9689.546,9691.597,11200958
2013-01-29 10:03:00,9697.633,9698.391,9695.045,9696.102,8764675
2013-01-29 10:04:00,9704.024,9704.024,9696.833,9696.833,8573605
2013-01-29 10:05:00,9705.193,9707.797,9704.639,9704.805,9151557
2013-01-29 10:06:00,9696.397,9703.171,9696.397,9703.171,11558563
2013-01-29 10:07:00,9694.083,9697.999,9694.083,9697.999,6895179
2013-01-29 10:08:00,9695.827,9698.648,9691.92,9696.998,8471663
2013-01-29 10:09:00,9685.831,9698.59,9685.831,9697.114,9742595
2013-01-29 10:10:00,9680.355,9683.59,9676.487,9683.59,10489520
2013-01-29 10:11:00,9676.344,9679.623,9676.344,9679.623,8380082
2013-01-29 10:12:00,9675.994,9679.946,9675.994,9676.399,8312109
2013-01-29 10:13:00,9681.188,9681.188,9675.54,9675.54,7724458
2013-01-29 10:14:00,9687.88,9690.443,9682.975,9682.975,7343072
2013-01-29 10:15:00,9686.656,9686.656,9680.108,9686.21,8354807
2013-01-29 10:16:00,9688.916,9692.29,9687.843,9688.315,9581815
2013-01-29 10:17:00,9687.301,9689.872,9684.812,9684.812,8227658
2013-01-29 10:18:00,9683.913,9687.158,9682.891,9687.158,8052225
2013-01-29 10:19:00,9687.611,9688.163,9682.877,9685.376,7145887
2013-01-29 10:20:00,9689.908,9695.554,9689.262,9690.098,7185489
2013-01-29 10:21:00,9694.182,9698.227,9693.075,9693.595,6727784
2013-01-29 10:22:00,9683.396,9702.353,9683.396,9697.383,7673410
2013-01-29 10:23:00,9678.529,9686.028,9678.529,9686.028,7449346
2013-01-29 10:24:00,9680.21,9683.787,9677.98,9681.678,6787343
2013-01-29 10:25:00,9681.152,9681.593,9678.204,9681.593,6149258
2013-01-29 10:26:00,9678.433,9680.933,9678.433,9678.529,6387036
2013-01-29 10:27:00,9681.703,9681.703,9678.746,9678.746,3985323
2013-01-29 10:28:00,9683.307,9684.477,9681.502,9683.428,4771246
2013-01-29 10:29:00,9682.775,9686.542,9682.376,9684.336,3608637
2013-01-29 10:30:00,9683.212,9685.986,9680.312,9685.986,4639912
2013-01-29 10:31:00,9682.838,9686.07,9682.838,9684.827,4318920
